Date,Department,Service_Type,Application,Region,Usage_Hours,Cost_INR
2026-02-01,Healthcare,Storage,Health Backup,India-West,358,2048
2026-02-01,Surveillance,Database,CCTV Analytics DB,India-South,244,3176
2026-02-02,Water,Database,Water Monitoring System,India-South,216,3750
2026-02-02,Healthcare,Networking,Health IoT Sensors,India-South,124,1349
2026-02-02,Surveillance,Database,Surveillance DB,India-South,234,3552
2026-02-02,Transport,Compute,Route Optimization AI,India-North,166,3522
2026-02-02,Electricity,Compute,Smart Grid Analysis,India-West,244,3961
2026-02-03,Healthcare,Storage,Patient Data Backup,India-North,253,1462
2026-02-03,Electricity,Compute,Smart Grid AI,India-East,234,3933
2026-02-03,Surveillance,Database,CCTV Analytics DB,India-West,213,3471
2026-02-03,Transport,Storage,Transport Data Backup,India-North,299,1279
2026-02-04,Transport,Database,Fleet Management DB,India-South,226,3957
2026-02-04,Water,Database,Water Monitoring System,India-South,193,3612
2026-02-04,Surveillance,Database,Surveillance DB,India-North,217,3740
2026-02-05,Transport,Compute,Route AI,India-West,195,4266
2026-02-05,Electricity,Database,Energy DB,India-North,260,3163
2026-02-05,Traffic,Database,Traffic Analytics DB,India-North,242,4032
2026-02-05,Water,Networking,IoT Water Sensors,India-West,198,1455
2026-02-06,Water,Storage,Water Data Logs,India-West,375,1052
2026-02-06,Surveillance,Networking,Surveillance Network,India-North,142,1092
2026-02-06,Healthcare,Networking,Health IoT Sensors,India-North,135,1433
2026-02-06,Transport,Networking,Bus Tracking System,India-North,186,1581
2026-02-07,Electricity,Compute,Smart Grid Analysis,India-West,231,3515
2026-02-07,Traffic,Compute,Traffic Prediction AI,India-South,209,4379
2026-02-07,Water,Compute,Water Demand AI,India-East,229,3907
2026-02-08,Healthcare,Networking,Health IoT Sensors,India-North,171,1214
2026-02-08,Water,Compute,Water Demand AI,India-West,175,4120
2026-02-08,Electricity,Database,Energy DB,India-West,242,3077
2026-02-08,Transport,Storage,Transport Data Backup,India-North,370,1225
2026-02-09,Traffic,Networking,Traffic Monitoring,India-South,145,1439
2026-02-09,Transport,Database,Transport Analytics DB,India-North,186,3032
2026-02-09,Water,Database,Water DB,India-West,197,3540
2026-02-09,Electricity,Storage,Energy Data Archive,India-North,264,1498
2026-02-09,Surveillance,Networking,CCTV Stream Network,India-North,176,1183
2026-02-10,Surveillance,Compute,AI Surveillance,India-East,165,4184
2026-02-10,Transport,Compute,Route AI,India-North,181,3256
2026-02-10,Traffic,Database,Signal Records DB,India-West,187,3974
2026-02-10,Water,Compute,Water Demand AI,India-West,250,3057
2026-02-10,Electricity,Compute,Smart Grid Analysis,India-East,149,2894
2026-02-11,Transport,Compute,Bus Tracking System,India-South,161,3106
2026-02-11,Electricity,Storage,Grid Logs Backup,India-North,361,1530
2026-02-11,Surveillance,Storage,Video Storage,India-West,311,1362
2026-02-11,Traffic,Database,Signal Records DB,India-North,188,3795
2026-02-12,Electricity,Storage,Energy Data Archive,India-South,293,1338
2026-02-12,Healthcare,Compute,Diagnostics AI,India-North,214,4257
2026-02-12,Transport,Storage,Fleet Data Logs,India-East,268,1740
2026-02-12,Traffic,Storage,Signal Data Backup,India-East,324,1013
2026-02-12,Surveillance,Database,CCTV Analytics DB,India-West,230,3608
2026-02-13,Transport,Database,Transport Analytics DB,India-South,182,3708
2026-02-13,Water,Storage,Water Records Backup,India-East,259,1272
2026-02-13,Surveillance,Storage,CCTV Backup System,India-East,287,1149
2026-02-14,Water,Storage,Water Records Backup,India-South,312,1341
2026-02-14,Transport,Compute,Bus Tracking System,India-North,154,4416
2026-02-14,Traffic,Database,Traffic Analytics DB,India-West,228,3615
2026-02-14,Healthcare,Storage,Health Backup,India-West,366,1388
2026-02-14,Electricity,Database,Energy Usage DB,India-West,255,4033
2026-02-15,Transport,Networking,Bus Tracking System,India-South,161,997
2026-02-15,Healthcare,Database,Smart Health Records,India-West,205,3608
2026-02-15,Electricity,Storage,Grid Logs Backup,India-East,288,1631
2026-02-15,Water,Database,Water Monitoring System,India-South,193,3865
2026-02-15,Surveillance,Storage,Video Storage,India-South,414,1014
2026-02-16,Electricity,Database,Energy Usage DB,India-South,204,3175
2026-02-16,Healthcare,Compute,Medical Imaging AI,India-North,205,3656
2026-02-16,Traffic,Networking,Signal Network,India-North,170,1107
2026-02-16,Surveillance,Storage,Video Storage,India-North,291,2058
2026-02-17,Water,Database,Water Monitoring System,India-West,236,3126
2026-02-17,Healthcare,Compute,Health AI,India-North,194,3118
2026-02-17,Surveillance,Storage,CCTV Storage,India-West,315,1531
2026-02-17,Electricity,Database,Energy DB,India-South,217,3947
2026-02-17,Traffic,Database,Traffic Analytics DB,India-East,267,3986
2026-02-18,Healthcare,Networking,Health IoT Sensors,India-North,165,1274
2026-02-18,Traffic,Storage,Signal Data Backup,India-East,287,2178
2026-02-18,Water,Database,Water DB,India-South,199,3040
2026-02-18,Surveillance,Database,Surveillance DB,India-East,215,3830
2026-02-18,Electricity,Networking,Smart Meter Network,India-West,146,1003
2026-02-19,Healthcare,Networking,Hospital Network,India-North,195,1267
2026-02-19,Water,Networking,Water Sensors,India-South,156,1036
2026-02-19,Electricity,Storage,Energy Data Archive,India-East,280,2033
2026-02-19,Traffic,Database,Traffic Analytics DB,India-West,219,3328
2026-02-20,Electricity,Storage,Grid Logs Backup,India-East,306,2044
2026-02-20,Healthcare,Database,Health Records DB,India-North,219,3949
2026-02-20,Transport,Compute,Transport AI,India-South,192,3999
2026-02-20,Surveillance,Storage,CCTV Storage,India-South,366,1955
2026-02-21,Traffic,Compute,Traffic AI,India-North,161,3499
2026-02-21,Surveillance,Networking,CCTV Stream Network,India-South,152,1086
2026-02-21,Healthcare,Compute,Medical Imaging AI,India-North,247,3597
2026-02-21,Transport,Storage,Transport Data Backup,India-West,411,1359
2026-02-21,Water,Database,Water Analytics DB,India-East,204,4005
2026-02-22,Electricity,Compute,Smart Grid Analysis,India-East,225,3307
2026-02-22,Surveillance,Database,Surveillance DB,India-East,228,3359
2026-02-22,Healthcare,Compute,Health AI,India-West,226,3266
2026-02-22,Water,Database,Water DB,India-West,211,3705
2026-02-23,Surveillance,Networking,Surveillance Network,India-West,157,1558
2026-02-23,Electricity,Networking,Smart Meter Network,India-West,120,1503
2026-02-23,Water,Database,Water DB,India-West,245,3536
2026-02-24,Surveillance,Networking,Surveillance Network,India-South,186,1355
2026-02-24,Traffic,Database,Signal Records DB,India-West,266,3084
2026-02-24,Healthcare,Networking,Hospital Network,India-West,126,1260
2026-02-25,Surveillance,Database,Surveillance DB,India-East,187,3451
2026-02-25,Electricity,Database,Energy DB,India-East,257,3319
2026-02-25,Healthcare,Networking,Hospital Network,India-North,135,1364
2026-02-25,Water,Networking,IoT Water Sensors,India-West,133,915
2026-02-25,Traffic,Storage,Traffic Data Logs,India-South,400,2129
2026-02-26,Electricity,Storage,Grid Logs Backup,India-West,386,2096
2026-02-26,Traffic,Database,Signal Records DB,India-East,184,3842
2026-02-26,Water,Networking,IoT Water Sensors,India-East,143,1506
2026-02-26,Healthcare,Storage,Health Backup,India-South,296,1725
2026-02-26,Surveillance,Networking,Surveillance Network,India-West,121,1383
2026-02-27,Traffic,Networking,Traffic Communication,India-West,200,1439
2026-02-27,Electricity,Compute,Smart Grid AI,India-South,164,4223
2026-02-27,Transport,Compute,Route Optimization AI,India-West,246,3325
2026-02-27,Surveillance,Networking,CCTV Stream Network,India-West,148,1018
2026-02-28,Traffic,Compute,Traffic Prediction AI,India-East,180,3770
2026-02-28,Healthcare,Storage,Patient Data Backup,India-South,402,2016
2026-02-28,Electricity,Storage,Grid Logs Backup,India-North,366,1354
2026-02-28,Surveillance,Compute,AI Monitoring,India-South,170,3479
2026-03-01,Traffic,Compute,Traffic AI,India-West,168,3006
2026-03-01,Electricity,Database,Energy DB,India-North,215,3174
2026-03-01,Transport,Storage,Fleet Data Logs,India-West,356,1854
2026-03-01,Healthcare,Database,Health Records DB,India-South,196,3999
2026-03-01,Water,Compute,Leak Detection AI,India-West,185,4486
2026-03-02,Traffic,Storage,Signal Data Backup,India-South,305,1785
2026-03-02,Transport,Networking,Bus Network,India-North,200,1434
2026-03-02,Electricity,Compute,Grid Compute,India-West,212,3012
2026-03-02,Healthcare,Storage,Patient Data Backup,India-South,289,2080
2026-03-02,Surveillance,Compute,Face Recognition AI,India-South,182,4527
2026-03-03,Surveillance,Compute,AI Surveillance,India-South,194,4406
2026-03-03,Electricity,Networking,Grid Sensors,India-North,131,1197
2026-03-03,Healthcare,Compute,Medical Imaging AI,India-North,188,3831
2026-03-03,Transport,Database,Transport Analytics DB,India-West,259,3279
2026-03-04,Electricity,Networking,Grid Sensors,India-East,144,1392
2026-03-04,Surveillance,Compute,AI Monitoring,India-North,165,3353
2026-03-04,Healthcare,Compute,Diagnostics AI,India-North,171,3648
2026-03-04,Water,Networking,IoT Water Sensors,India-South,142,1004
2026-03-04,Traffic,Storage,Traffic Data Logs,India-West,328,1660
2026-03-05,Electricity,Database,Energy Usage DB,India-North,219,4064
2026-03-05,Surveillance,Networking,Surveillance Network,India-East,179,1016
2026-03-05,Water,Database,Water DB,India-East,218,3596
2026-03-05,Transport,Database,Fleet Management DB,India-West,218,4073
2026-03-05,Healthcare,Storage,Patient Backup,India-West,352,2225
2026-03-06,Traffic,Storage,Traffic Data Logs,India-North,262,2207
2026-03-06,Water,Storage,Water Records Backup,India-North,419,1575
2026-03-06,Healthcare,Storage,Patient Data Backup,India-East,419,2173
2026-03-07,Traffic,Compute,Traffic Prediction AI,India-South,232,3179
2026-03-07,Electricity,Compute,Smart Grid Analysis,India-East,195,4143
2026-03-07,Surveillance,Compute,AI Surveillance,India-West,164,4265
2026-03-07,Transport,Networking,Bus Tracking System,India-South,168,920
2026-03-08,Traffic,Compute,Traffic Signal AI,India-East,204,3822
2026-03-08,Water,Storage,Water Data Logs,India-South,392,1852
2026-03-08,Transport,Compute,Route AI,India-East,151,3045
2026-03-09,Electricity,Storage,Energy Data Archive,India-East,312,1030
2026-03-09,Surveillance,Storage,CCTV Footage Storage,India-West,402,1594
2026-03-09,Water,Networking,IoT Water Sensors,India-East,139,1503
2026-03-09,Traffic,Storage,Traffic Data Logs,India-North,359,2172
2026-03-10,Water,Database,Water Analytics DB,India-South,184,3114
2026-03-10,Transport,Database,Fleet Management DB,India-South,188,3159
2026-03-10,Electricity,Networking,Grid Sensors,India-South,180,1416
2026-03-10,Healthcare,Database,Health Records DB,India-West,241,3206
2026-03-11,Transport,Storage,Fleet Data Logs,India-East,287,1353
2026-03-11,Traffic,Networking,Traffic Communication,India-South,186,1255
2026-03-11,Electricity,Storage,Energy Data Archive,India-North,289,1993
2026-03-11,Surveillance,Compute,Face Recognition AI,India-East,153,4263
2026-03-11,Healthcare,Storage,Patient Backup,India-South,316,1666
2026-03-12,Water,Networking,Water Sensors,India-South,147,1521
2026-03-12,Traffic,Storage,Signal Data Backup,India-South,311,1374
2026-03-12,Electricity,Database,Energy DB,India-North,235,3099
2026-03-12,Healthcare,Storage,Patient Backup,India-South,282,1239
2026-03-12,Surveillance,Database,CCTV Analytics DB,India-East,238,3641
2026-03-13,Electricity,Database,Energy DB,India-West,211,3429
2026-03-13,Healthcare,Networking,Health IoT Sensors,India-South,164,948
2026-03-13,Surveillance,Storage,CCTV Storage,India-North,404,1449
2026-03-14,Traffic,Compute,Traffic Signal AI,India-East,178,4127
2026-03-14,Water,Compute,Leak Detection AI,India-North,244,2872
2026-03-14,Transport,Networking,Bus Network,India-West,179,1373
2026-03-15,Traffic,Compute,Traffic Prediction AI,India-North,167,3438
2026-03-15,Electricity,Database,Energy DB,India-South,201,3258
2026-03-15,Transport,Networking,Transport Sensors,India-East,183,934
2026-03-16,Electricity,Database,Energy Usage DB,India-East,215,3837
2026-03-16,Healthcare,Database,Health Records DB,India-South,255,3066
2026-03-16,Water,Storage,Water Records Backup,India-North,299,1737
2026-03-16,Transport,Compute,Transport AI,India-South,145,3751
2026-03-17,Healthcare,Storage,Patient Backup,India-North,330,1781
2026-03-17,Surveillance,Networking,CCTV Stream Network,India-West,166,1002
2026-03-17,Transport,Database,Fleet Management DB,India-South,208,3135
2026-03-17,Electricity,Compute,Grid Compute,India-South,244,2894
2026-03-17,Traffic,Storage,Signal Data Backup,India-West,278,1545
2026-03-18,Electricity,Compute,Smart Grid Analysis,India-North,140,3436
2026-03-18,Traffic,Networking,Traffic Monitoring,India-North,153,1083
2026-03-18,Surveillance,Networking,Surveillance Network,India-South,143,1451
2026-03-19,Surveillance,Compute,Face Recognition AI,India-East,199,3240
2026-03-19,Healthcare,Database,Health Records DB,India-West,194,3215
2026-03-19,Transport,Compute,Bus Tracking System,India-South,147,3457
2026-03-19,Traffic,Database,Signal Records DB,India-West,250,3453
2026-03-20,Water,Networking,IoT Water Sensors,India-East,182,1428
2026-03-20,Electricity,Compute,Smart Grid AI,India-East,211,3257
2026-03-20,Transport,Networking,Bus Tracking System,India-South,191,1196
2026-03-20,Surveillance,Storage,CCTV Storage,India-West,359,1638
2026-03-21,Traffic,Storage,Signal Data Backup,India-East,397,1705
2026-03-21,Healthcare,Storage,Patient Data Backup,India-East,260,1237
2026-03-21,Surveillance,Database,CCTV Analytics DB,India-South,196,3658
2026-03-21,Electricity,Compute,Smart Grid AI,India-East,218,3458
2026-03-22,Healthcare,Database,Health Records DB,India-West,194,4072
2026-03-22,Traffic,Storage,Traffic Data Logs,India-East,298,1342
2026-03-22,Water,Compute,Water Demand AI,India-South,169,3455
2026-03-22,Transport,Networking,Transport Sensors,India-West,185,1086
2026-03-23,Electricity,Database,Energy DB,India-South,255,3328
2026-03-23,Healthcare,Networking,Hospital Network,India-East,181,1002
2026-03-23,Transport,Storage,Transport Data Backup,India-North,376,1026
2026-03-23,Surveillance,Database,CCTV Analytics DB,India-East,183,3456
2026-03-23,Traffic,Storage,Signal Data Backup,India-West,376,1544
2026-03-24,Surveillance,Database,CCTV Analytics DB,India-North,223,3664
2026-03-24,Transport,Storage,Fleet Data Logs,India-South,385,1334
2026-03-24,Electricity,Storage,Grid Logs Backup,India-North,399,1578
2026-03-24,Water,Storage,Water Records Backup,India-East,336,1946
2026-03-24,Healthcare,Compute,Health AI,India-North,158,4477
2026-03-25,Transport,Database,Fleet Management DB,India-South,233,4037
2026-03-25,Traffic,Database,Traffic Analytics DB,India-North,255,3892
2026-03-25,Surveillance,Storage,CCTV Footage Storage,India-North,273,1431
2026-03-26,Traffic,Networking,Traffic Monitoring,India-South,170,1537
2026-03-26,Water,Compute,Leak Detection AI,India-West,237,4421
2026-03-26,Surveillance,Networking,CCTV Stream Network,India-North,153,1217
2026-03-27,Surveillance,Storage,CCTV Backup System,India-North,286,1872
2026-03-27,Transport,Networking,Bus Network,India-South,137,1480
2026-03-27,Traffic,Compute,Traffic AI,India-South,238,3664
2026-03-27,Electricity,Networking,Grid Sensors,India-East,161,1453
2026-03-28,Electricity,Compute,Smart Grid Analysis,India-East,205,4065
2026-03-28,Surveillance,Compute,Face Recognition AI,India-North,204,4331
2026-03-28,Healthcare,Compute,Medical Imaging AI,India-West,242,3985
2026-03-28,Water,Storage,Water Data Logs,India-West,394,1927
2026-03-29,Electricity,Compute,Smart Grid Analysis,India-East,147,3846
2026-03-29,Transport,Compute,Bus Tracking System,India-East,223,4189
2026-03-29,Traffic,Networking,Traffic Monitoring,India-South,129,1285
2026-03-30,Surveillance,Database,Surveillance DB,India-West,240,3993
2026-03-30,Traffic,Storage,Signal Data Backup,India-West,286,2083
2026-03-30,Electricity,Compute,Smart Grid Analysis,India-South,183,3014
2026-03-31,Healthcare,Compute,Health AI,India-North,208,4063
2026-03-31,Surveillance,Compute,AI Monitoring,India-West,151,3354
2026-03-31,Electricity,Networking,Smart Meter Network,India-West,162,1045
2026-03-31,Water,Storage,Water Data Logs,India-West,278,2103
2026-04-01,Healthcare,Storage,Patient Data Backup,India-North,335,2263
2026-04-01,Transport,Compute,Transport AI,India-East,168,4300
2026-04-01,Surveillance,Storage,CCTV Footage Storage,India-North,368,1468
2026-04-01,Traffic,Database,Signal Records DB,India-West,224,3406
2026-04-01,Electricity,Networking,Grid Sensors,India-West,127,1277
2026-04-02,Water,Networking,IoT Water Sensors,India-East,195,1281
2026-04-02,Electricity,Storage,Grid Logs Backup,India-South,250,2235
2026-04-02,Traffic,Database,Signal Records DB,India-West,232,3402
2026-04-02,Transport,Compute,Bus Tracking System,India-West,201,4164
2026-04-03,Healthcare,Networking,Health IoT Sensors,India-South,196,1089
2026-04-03,Water,Compute,Water Demand AI,India-East,237,4330
2026-04-03,Electricity,Storage,Grid Logs Backup,India-East,351,1048
2026-04-03,Transport,Storage,Fleet Data Logs,India-West,390,2060
2026-04-04,Transport,Storage,Transport Data Backup,India-North,359,2032
2026-04-04,Traffic,Compute,Traffic AI,India-East,232,4424
2026-04-04,Healthcare,Compute,Health AI,India-East,174,2988
2026-04-04,Electricity,Storage,Grid Logs Backup,India-North,338,1775
2026-04-04,Surveillance,Database,Surveillance DB,India-East,250,3236
2026-04-05,Electricity,Networking,Grid Sensors,India-West,189,1573
2026-04-05,Healthcare,Compute,Diagnostics AI,India-South,151,4074
2026-04-05,Transport,Storage,Fleet Data Logs,India-South,293,1835
2026-04-05,Water,Database,Water DB,India-West,225,3601
2026-04-06,Transport,Compute,Transport AI,India-East,174,4605
2026-04-06,Surveillance,Database,CCTV Analytics DB,India-North,194,3905
2026-04-06,Electricity,Networking,Smart Meter Network,India-North,134,1259
2026-04-06,Healthcare,Compute,Health AI,India-West,158,4281
2026-04-06,Traffic,Compute,Traffic Signal AI,India-East,249,4492
2026-04-07,Transport,Storage,Fleet Data Logs,India-East,333,2260
2026-04-07,Traffic,Database,Traffic Analytics DB,India-East,221,3547
2026-04-07,Healthcare,Networking,Hospital Network,India-South,194,1196
2026-04-07,Water,Database,Water Analytics DB,India-North,192,3252
2026-04-08,Electricity,Storage,Energy Data Archive,India-West,386,2110
2026-04-08,Healthcare,Compute,Medical Imaging AI,India-West,227,3272
2026-04-08,Transport,Compute,Bus Tracking System,India-West,211,3039
2026-04-09,Transport,Compute,Route Optimization AI,India-North,175,3905
2026-04-09,Electricity,Database,Energy DB,India-East,218,3297
2026-04-09,Healthcare,Database,Health Records DB,India-South,226,3666
2026-04-10,Surveillance,Database,Surveillance DB,India-South,197,3949
2026-04-10,Water,Storage,Water Data Logs,India-West,326,1553
2026-04-10,Traffic,Compute,Traffic Prediction AI,India-South,141,4267
2026-04-10,Healthcare,Database,Health Records DB,India-North,211,3627
2026-04-10,Transport,Compute,Route Optimization AI,India-East,176,4612
2026-04-11,Surveillance,Database,Surveillance DB,India-East,239,3400
2026-04-11,Electricity,Database,Energy DB,India-West,221,3385
2026-04-11,Traffic,Database,Traffic Analytics DB,India-West,215,3855
2026-04-11,Water,Compute,Water Demand AI,India-East,142,2958
2026-04-12,Surveillance,Networking,CCTV Stream Network,India-East,124,1366
2026-04-12,Electricity,Database,Energy DB,India-South,187,3325
2026-04-12,Transport,Networking,Transport Sensors,India-North,163,1318
